Name,Location,Kharif Crop,Rabi Crop,Number of Acres,Method1,Method2,Method3,Number of credits / carbon sequestration potential,Yield Increase,Emission reduction,Cost,Project value,Project Start Date,Verification date,Date of credits receival,Additional comments,Source
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 4 t/acre BioChar,1.27,0.92%,,"$1,694.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Corn-Rye-Soy-Wheat/CC,-1.6, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 13 t/acre BioChar,1.75,-1.59%,,"$5,300.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn with 13 t/acre BioChar,-0.05,1.55%,,"$5,307.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,Moderate Stover,Continuous Corn,0.38,-3.23%,,$91.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn,-0.46,-0.64%,,$107.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn,-2.02,6.12%,,$93.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,0.24, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn with 4 t/acre BioChar,-1.81,-3.80%,,"$1,707.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 4 t/acre BioChar,0.9,-0.46%,,"$1,701.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Corn-Rye-Soy-Wheat/CC,3.45, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn,3.15,-6.28%,,$100.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Wheat/CC-Corn-Rye-Soy,-1.59, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Wheat/CC-Corn-Rye-Soy,-2.01, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 13 t/acre BioChar,5.33,-4.16%,,"$5,204.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,-1.23, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,-3, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,-0.7, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,-5.68,-10.07%,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Rye-Soy-Wheat/CC-Corn,-0.71, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Rye-Soy-Wheat/CC-Corn,-0.19, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 4 t/acre BioChar,-0.76,6.78%,,"$1,701.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Corn-Rye-Soy-Wheat/CC,1.06, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Rye-Soy-Wheat/CC-Corn,-3.03, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,Moderate Stover,Continuous Corn,0.37,-8.82%,,$91.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn,-1.95,-7.97%,,$100.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Wheat/CC-Corn-Rye-Soy,2.24, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn,-0.29,-9.88%,,$107.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Wheat/CC-Corn-Rye-Soy,0.58, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,0.05, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,-2.25, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn with 4 t/acre BioChar,1.5,-7.91%,,"$1,707.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn with 13 t/acre BioChar,-0.87,3.55%,,"$5,307.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,1.23,4.81%,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Corn-Rye-Soy-Wheat/CC,0.56, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 13 t/acre BioChar,-1.78,2.38%,,"$5,204.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,-0.43, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Rye-Soy-Wheat/CC-Corn,-3.17, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,2.1, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 13 t/acre BioChar,-1.52,5.11%,,"$5,300.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 4 t/acre BioChar,-2.08,6.88%,,"$1,694.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,High Stover,Continuous Corn,-0.13,1.81%,,$96.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn,-3.52,-3.03%,,$93.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Corn-Corn-Alfalfa-Alfalfa,1.73, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn,-2.19,-2.91%,,$107.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 13 t/acre BioChar,-0.64,-3.32%,,"$5,300.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Corn-Alfalfa-Alfalfa-Alfalfa,-1.9,10.72%,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn,-2.66,-4.24%,,$100.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn with 13 t/acre BioChar,2.29,6.07%,,"$5,307.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,High Stover,Continuous Corn with 4 t/acre BioChar,-1.14,-5.22%,,"$1,707.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Corn-Alfalfa-Alfalfa-Alfalfa-Corn,-2.15, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Corn-Rye-Soy-Wheat/CC,0.42, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Rye-Soy-Wheat/CC-Corn,-0.37, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,High Stover,Continuous Corn,1.11,-2.66%,,$96.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,Moderate Stover,Wheat/CC-Corn-Rye-Soy,-2.28, ,,$91.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 13 t/acre BioChar,0.47,1.16%,,"$5,204.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,No-Tillage,Moderate Stover,Continuous Corn,-0.6,-10.88%,,$91.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Alfalfa-Corn-Corn,0.54, ,,$99.75,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Wheat/CC-Corn-Rye-Soy,1.76, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Rye-Soy-Wheat/CC-Corn,-2.18, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Moderate Stover,Continuous Corn with 4 t/acre BioChar,-2.38,-3.83%,,"$1,701.00",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn with 4 t/acre BioChar,-1.27,3.34%,,"$1,694.50",,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Corn,0.275,Chisel,Zero Stover,Continuous Corn,-2.13,4.55%,,$93.50,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Cover Crop,,0.275,No-Tillage,High Stover,Corn-Rye-Soy-Wheat/CC,2.49, ,,$98.00,,2015,2016.0,,,
Agronomy Research Farm,"Iowa,US",Corn,Alfalfa,0.275,No-Tillage,High Stover,Alfalfa-Alfalfa-Corn-Corn-Alfalfa,-0.63, ,,$99.75,,2015,2016.0,,,
SoilFood,Finland,"Barley,Oats","Wheat,Rye",2.47,Soil Amendment,,,0.05,1.00%,98.00%,€1.60,€2.21,,,,"In addition to soil carbon sequestration, the use of Soil Improvement Fibres reduces greenhouse gas emissions from agriculture. Soil Improvement Fibre's emission factor for N2O, the most significant greenhouse gas from agriculture, is estimated to be 50 times lower than for chemical fertilizer**",https://registry.puro.earth/carbon-sequestration/projects/Soil-amendment/Soilfood-1-Finland/643002406801000336
NetZero,Brazil,Coffee,,25,Biochar,,,480,25.00%,,,,2023,,,,"https://www.nature.com/articles/s41598-019-47647-x#Abs1
Puro
"
PyCoral,Australia,corn,tomato,2.47,Biochar,,,2.9,0.03%,94.00%,$69,€100.00,,,,"cost in one tonne of biochar
assuming one tonne biochar in one hectare of land 
is applied for hortilculture crops","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.dpi.nsw.gov.au/__data/assets/pdf_file/0008/447857/DPI-BioChar-in-Horticulture.pdf
https://registry.puro.earth/carbon-sequestration/projects/Biochar/Pyrocal---Wellcamp/643002406801000435
"
CarbonCycle,Germany,corn,winter wheat,2.47,Biochar,By capturing waste forest biomass of low economic value from sustainably managed forests and stabilizing the carbon through pyrolysis,,2.86,34.00%,25.00%,,,2013,,,assumed that in nothern germany the biochar is supplied by the same company,https://bsssjournals.onlinelibrary.wiley.com/doi/full/10.1111/ejss.13088
Nordgau,"Wernberg-Köblitz, Germany",corn,"Potato,wheat",1,Biochar,,,8.4,10.10%,87.00%,,€560.00,,,,"https://pacificbiochar.com/biochar-application-calculator/
https://biochar-international.org/
Can be used for calculating amount of biochar for farming in a particular region

Assumed per acre of land required 3 tonne of biochar",
Sylva Fertilis,France,corn,wheat,1,Biochar,,,8.4,9.00%,82.00%,"€2,100.00","€2,688.00",2021,,,,
OBIO Rudshøgda,Norway,Potato,Winter rye,0.00815448,Biochar,Cover Crop,,0.02,9.00%,81.96%,NOK 36045 ,"€4,806.00",,,,"cost inper acre, Project value per acre
carbon credits are in that given area","https://tandfonline.com/doi/epdf/10.1080/09064710.2023.2165963?needAccess=true
Puro
"
Fortaleza Ituxi III ALM,"Lábrea,Amazonas,Brazil",pasture,acai,918.045913,Agroforestry,rotational grazing,,"2,905.00",,,,,2,,,"2905 tonnes was average annual co2 reduction made , 
Note that this is not the net negative emission",
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,50,,,,,,2021.0,,They are using Nitrogen fixing microbes instead of nitrogen fertilizers to reduce n20 emissions,https://registry.verra.org/app/projectDetail/VCS/3598
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,500,,,,,,2022.0,,All the data is not available publicly,https://registry.verra.org/app/projectDetail/VCS/3598
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,"5,000.00",,,,,,2023.0,,,https://registry.verra.org/app/projectDetail/VCS/3598
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,"10,000.00",,,,,,2024.0,,,https://registry.verra.org/app/projectDetail/VCS/3598
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,"20,000.00",,,,,,2025.0,,,https://registry.verra.org/app/projectDetail/VCS/3598
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,"40,000.00",,,,,,2026.0,,,https://registry.verra.org/app/projectDetail/VCS/3598
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,"80,000.00",,,,,,2027.0,,,https://registry.verra.org/app/projectDetail/VCS/3598
Pivot Bio,U.S. Corn Belt,,,,Nitrogen-fixing Microbes,,,"1,20,000.00",,,,,,2028.0,,,https://registry.verra.org/app/projectDetail/VCS/3598
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"5,000.00",,,,,01-01-2023,,31-12-2023,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"10,000.00",,,,,01-01-2024,,31-12-2024,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"60,000.00",,,,,01-01-2025,,31-12-2025,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"90,000.00",,,,,01-01-2026,,31-12-2026,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"1,50,000.00",,,,,01-01-2027,,31-12-2027,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"2,50,000.00",,,,,01-01-2028,,31-12-2028,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"4,50,000.00",,,,,01-01-2029,,31-12-2029,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"6,50,000.00",,,,,01-01-2030,,31-12-2030,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"8,50,000.00",,,,,01-01-2031,,31-12-2031,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"10,00,000.00",,,,,01-01-2032,,31-12-2032,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"12,50,000.00",,,,,01-01-2033,,31-12-2033,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"15,00,000.00",,,,,01-01-2034,,31-12-2034,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"20,00,000.00",,,,,01-01-2035,,31-12-2035,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"25,00,000.00",,,,,01-01-2036,,31-12-2036,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"30,00,000.00",,,,,01-01-2037,,31-12-2037,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"32,50,000.00",,,,,01-01-2038,,31-12-2038,,https://registry.verra.org/app/projectDetail/VCS/4877
e Carbon Smart Cropping And Pasture Systems USA ," West Coast,US",,,15000,organic amendments ,cover crops, pasture improvement,"35,00,000.00",,,,,01-01-2039,,31-12-2039,,https://registry.verra.org/app/projectDetail/VCS/4877
